commit_hash,author_date_unix_timestamp,author_date,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug
eda453f29811bc37620f97296bb43915b7fa90e7,1500882037,Mon Jul 24 10:40:37 2017 +0300,false,1,1,1,0,6,2,597,48,0.00125,40,3204,801,584,false
5aeb6ab1626083ff1702a44e1849e432123ba573,1500881929,Mon Jul 24 10:38:49 2017 +0300,false,2,3,3,1.11984023878458,17,6,681.333333333333,48,1.06026234567901,106,3202,1.42224309198217,1307,false
0c4d173e7b075c360e5e857fa2989a7129c59d69,1500881113,Mon Jul 24 10:25:13 2017 +0300,false,2,5,5,1.74984409389092,35,15,369.6,48,0.431125,105,3198,1.90642965645416,1305,true
09ff6fd0cf76389602c872884e821af0c0a020d1,1500878349,Mon Jul 24 09:39:09 2017 +0300,false,1,1,1,0,1,1,366,48,5.38862268518518,35,3195,1.18557617751736,1301,true
10c5abe81a597a876749faabbcaf804f8af992a5,1500835493,Sun Jul 23 21:44:53 2017 +0300,false,1,1,1,0,0,0,1199,48,0.0047337962962963,37,3194,212.246943765281,1300,false
c8237f81e27ad86eeb6ad16933b46a608cf663e3,1500835309,Sun Jul 23 21:41:49 2017 +0300,false,1,1,1,0,1,1,169,48,0.00260416666666667,12,3193,385,581,false
452f5c67ef3dfedcc1f433cb4cf69ed6955c91ad,1500835084,Sun Jul 23 21:38:04 2017 +0300,false,3,5,5,1.49152949897644,69,8,839,48,9.68945601851852,121,3190,1.10626347236852,1299,true
17b2afb08af8243bc25b71985b2b55014bf2a17c,1500746297,Sat Jul 22 20:58:17 2017 +0300,false,1,1,1,0,8,2,582,48,0.0150231481481481,38,3187,67.5639445300462,579,true
fbf99a0866eeb4f6748c6eb639a561edb05f299e,1500744999,Sat Jul 22 20:36:39 2017 +0300,false,1,1,1,0,16,4,562,48,18.5797800925926,37,3186,1.05382195026079,578,false
0b9b5661e1c0ed6c33d4fae2badc822a26570137,1500743557,Sat Jul 22 20:12:37 2017 +0300,false,2,2,2,0.97366806454962,25,2,155.5,48,18.5630902777778,37,3184.5,1.04040275561757,1296,true
7c22fe8b8fc4faee8388fd311f26f7ef6cd0abec,1500658628,Fri Jul 21 20:37:08 2017 +0300,false,1,1,1,0,6,6,492,48,8.71094907407407,12,3183,1.11479805374781,5,true
e6232c0ffd371616f1aa400faa242d47cbee2c9a,1500632721,Fri Jul 21 20:25:21 2017 +1000,false,1,2,2,0.840358671609117,9,6,293,45,68.6781134259259,44,7983.5,1.00733668496607,2000,true
f2d46de3eca80bba448ee1a5954bf7a7dc8e751b,1500631949,Fri Jul 21 20:12:29 2017 +1000,false,1,4,6,0.925533725971404,6,0,289.333333333333,43,287.53271412037,59,7979.5,1.00234762405028,1998,true
6fe354cbe9305b095690c4b1939ef44d39ce5c57,1500627082,Fri Jul 21 11:51:22 2017 +0300,false,1,1,1,0,1,1,425,44,22.3375347222222,10,3182,1.04476769761907,494,false
971f4716d9b738c9a01cbd569df8a7e602469b50,1500557755,Thu Jul 20 16:35:55 2017 +0300,false,1,1,1,0,2,2,468,48,16.4126041666667,33,3181,1.06092878313796,1295,false
0d2f7c1bcb9352f5daea15e3ae6283ba5c14c3d0,1500505132,Wed Jul 19 15:58:52 2017 -0700,false,1,1,1,0,1,1,713,48,6.934375,45,127,1.14420910319964,80,false
ba9ead706bff6062750df77da74f1a1d76600aac,1500489463,Wed Jul 19 21:37:43 2017 +0300,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false
cc20e57d4e644c3544695b0bd9b27b23e2f4626c,1500489430,Wed Jul 19 21:37:10 2017 +0300,false,1,1,1,0,2,1,2826,48,2.35717592592593,57,3180,1.42423647255229,493,true
c2b12485850095ea5a12e42b1417023b4db99389,1500489378,Wed Jul 19 21:36:18 2017 +0300,false,1,1,1,0,13,12,386,48,6.75203703703704,19,3179,1.14810345300458,576,true
8b25b1201b5ac1bb61791d239136337816873e37,1500489290,Wed Jul 19 21:34:50 2017 +0300,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0e932c8dca2bfdd72239d6786fcf8c162303b28e,1500484646,Wed Jul 19 20:17:26 2017 +0300,true,0,0,0,0,0,0,0,0,0,0,0,0,0,false
